﻿일,유종,Dubai,Brent,WTI,Oman
01월 02일,,60.32,60.75,57.32,60.59
01월 05일,,58.26,61.76,58.32,58.30
01월 06일,,59.41,60.70,57.13,59.69
01월 07일,,58.29,59.96,55.99,58.60
01월 08일,,58.33,61.99,57.76,58.58
01월 09일,,60.82,63.34,59.12,61.07
01월 12일,,61.40,63.87,59.50,61.65
01월 13일,,61.75,65.47,61.15,62.16
01월 14일,,62.42,66.52,62.02,62.79
01월 15일,,62.54,63.76,59.19,62.94
01월 16일,,62.31,64.13,59.44,62.70
01월 19일,,61.96,63.94,-,62.29
01월 20일,,61.82,64.92,60.34,62.26
01월 21일,,62.33,65.24,60.62,62.53
01월 22일,,63.22,64.06,59.36,63.37
01월 23일,,62.29,65.88,61.07,62.50
01월 26일,,63.54,65.59,60.63,63.55
01월 27일,,62.89,67.57,62.39,62.89
01월 28일,,64.65,68.40,63.21,64.65
01월 29일,,66.34,70.71,65.42,66.34
01월 30일,,66.57,70.69,65.21,66.55
02월 02일,,64.98,66.30,62.14,65.05
02월 03일,,65.10,67.33,63.21,65.13
02월 04일,,66.80,69.46,65.14,66.80
02월 05일,,67.42,67.55,63.29,67.44
02월 06일,,67.73,68.05,63.55,67.73
02월 09일,,66.81,69.04,64.36,66.81
02월 10일,,67.99,68.80,63.96,67.99
02월 11일,,68.59,69.40,64.63,68.59
02월 12일,,68.68,67.52,62.84,68.68
02월 13일,,66.88,67.75,62.89,66.86
02월 16일,,67.06,68.65,-,67.02
02월 17일,,-,67.42,62.33,-
02월 18일,,-,70.35,65.19,-
02월 19일,,70.14,71.66,66.43,70.14
02월 20일,,70.71,71.76,66.39,70.73
02월 23일,,70.04,71.49,66.31,70.04
02월 24일,,70.47,70.77,65.63,70.47
02월 25일,,70.09,70.85,65.42,70.09
02월 26일,,70.53,70.75,65.21,70.53
02월 27일,,71.24,72.48,67.02,71.22
03월 02일,,80.79,77.74,71.23,80.79
03월 03일,,82.34,81.40,74.56,82.32
03월 04일,,86.34,81.40,74.66,86.34
03월 05일,,94.93,85.41,81.01,94.93
03월 06일,,100.42,92.69,90.90,100.43
03월 09일,,125.00,98.96,94.77,125.00
03월 10일,,115.20,87.80,83.45,115.20
03월 11일,,119.55,91.98,87.25,119.55
03월 12일,,134.40,100.46,95.73,134.40
03월 13일,,145.51,103.14,98.71,145.51
03월 16일,,153.24,100.21,93.50,153.24
03월 17일,,157.66,103.42,96.21,157.66
03월 18일,,155.55,107.38,96.32,155.55
03월 19일,,166.80,108.65,96.14,166.79
03월 20일,,158.85,112.19,98.32,158.82
전일비,,-7.95,3.54,2.18,-7.97
전주비,,13.34,9.05,-0.39,13.31
전월동일비,,88.14,40.43,31.93,88.09
전년동일비,,85.91,40.19,30.06,85.88
평균,,81.65,74.63,69.70,81.74
