﻿일,유종,휘발유[95RON],휘발유[92RON],등유,경유[0.05%],경유[0.001%],고유황중유[180cst/3.5%],고유황중유[380cst/3.5%],나프타
01월 02일,,72.60,71.59,81.12,79.29,79.38,53.65,53.16,56.38
01월 05일,,71.37,70.21,80.28,77.96,78.11,52.72,52.43,55.31
01월 06일,,72.55,71.19,81.87,79.48,79.55,54.16,53.73,56.73
01월 07일,,70.60,69.58,80.37,77.27,77.34,54.36,53.92,56.52
01월 08일,,71.19,69.94,79.77,77.03,77.13,53.28,52.67,57.43
01월 09일,,73.02,71.93,81.72,79.51,79.56,54.04,53.69,58.58
01월 12일,,72.88,71.79,81.73,79.92,79.97,53.48,53.15,59.30
01월 13일,,73.44,72.35,82.73,81.24,81.29,54.83,54.26,59.61
01월 14일,,73.41,71.83,83.83,82.41,82.46,56.87,56.36,59.46
01월 15일,,72.57,71.42,83.31,81.73,81.78,57.02,56.51,58.82
01월 16일,,71.79,70.47,82.87,81.66,81.71,56.95,56.41,58.20
01월 19일,,71.97,70.62,83.30,82.08,82.13,57.23,56.70,58.14
01월 20일,,72.34,70.97,83.21,82.47,82.52,56.61,56.02,58.19
01월 21일,,73.20,71.83,84.26,83.86,83.91,57.64,57.12,59.32
01월 22일,,73.66,72.29,85.15,85.34,85.39,59.52,58.88,60.28
01월 23일,,73.52,70.78,84.21,84.14,84.18,60.75,60.18,60.29
01월 26일,,73.86,71.62,85.35,85.74,85.78,63.02,62.52,61.18
01월 27일,,72.33,70.19,83.64,83.99,84.03,60.60,60.18,60.65
01월 28일,,74.53,72.45,85.68,86.56,86.69,62.92,62.56,62.46
01월 29일,,75.73,73.65,87.55,88.44,88.58,65.17,64.95,63.76
01월 30일,,75.45,73.44,87.66,88.65,88.83,65.16,64.85,63.86
02월 02일,,72.52,70.91,85.85,86.68,87.38,62.99,62.86,62.48
02월 03일,,72.81,71.14,85.14,85.72,86.71,63.90,63.74,63.02
02월 04일,,74.65,72.92,86.67,87.03,88.27,65.87,65.64,64.53
02월 05일,,75.08,73.35,87.10,87.34,88.58,67.28,66.94,65.23
02월 06일,,75.23,73.50,87.73,87.99,89.52,66.82,66.62,64.97
02월 09일,,76.59,74.86,86.51,86.66,88.20,65.63,65.58,64.47
02월 10일,,78.39,76.66,87.45,87.39,88.81,67.30,66.95,66.06
02월 11일,,77.60,75.52,88.44,88.29,89.71,68.36,67.89,66.96
02월 12일,,77.15,74.82,88.57,88.36,89.68,68.90,68.76,66.40
02월 13일,,73.87,71.60,86.43,86.17,87.46,67.88,67.86,64.45
02월 16일,,73.78,71.77,85.74,85.73,87.01,67.54,67.36,64.61
02월 19일,,78.06,76.05,90.85,90.69,91.85,70.05,69.57,65.99
02월 20일,,79.92,77.60,92.52,92.07,93.12,69.15,68.84,66.48
02월 23일,,79.76,77.44,91.85,91.03,91.87,67.10,66.44,66.56
02월 24일,,81.33,78.87,92.67,91.87,92.59,65.96,65.01,66.41
02월 25일,,81.45,78.99,92.53,91.69,92.40,67.27,66.30,66.69
02월 26일,,81.73,79.27,92.71,91.88,92.59,67.79,66.99,68.34
02월 27일,,82.10,79.64,93.55,92.28,92.90,67.82,67.02,68.87
03월 02일,,92.77,90.31,116.44,114.51,115.13,78.92,78.59,79.35
03월 03일,,98.67,95.58,130.24,125.24,125.86,82.75,82.41,82.24
03월 04일,,104.33,99.66,231.41,140.59,145.13,89.25,88.83,86.57
03월 05일,,110.95,106.28,201.17,152.19,153.18,93.95,93.60,86.90
03월 06일,,121.33,113.13,160.54,154.74,155.74,102.68,101.96,88.10
03월 09일,,147.47,139.27,188.18,184.41,185.41,138.94,138.29,112.88
03월 10일,,127.40,119.20,142.96,160.37,161.37,107.49,107.27,96.21
03월 11일,,129.17,116.76,157.27,163.56,164.56,105.64,105.41,101.60
03월 12일,,143.44,130.12,209.52,193.50,194.50,123.19,122.58,113.30
03월 13일,,149.76,136.44,199.50,191.48,192.48,116.78,116.11,122.46
03월 16일,,153.48,140.16,201.42,189.93,190.93,121.31,120.70,127.95
03월 17일,,152.16,138.84,201.27,197.20,198.20,118.58,118.03,124.53
03월 18일,,153.10,139.78,201.05,197.87,198.87,117.77,117.20,124.44
03월 19일,,165.24,151.92,227.41,223.49,224.49,123.78,123.17,137.72
전일비,,12.14,12.14,26.36,25.62,25.62,6.01,5.97,13.28
전주비,,21.80,21.80,17.89,29.99,29.99,0.59,0.59,24.42
전월동일비,,87.18,75.87,136.56,132.80,132.64,53.73,53.60,71.73
전년동일비,,84.99,73.10,143.74,139.92,139.64,52.35,53.13,68.26
평균,,90.06,86.27,111.70,107.86,108.58,74.31,73.86,73.80
